cik,industry,source_sector,ticker,company
1133818,biotech,Drugs (Biotechnology),OTCPK:BPTH,"Bio-Path Holdings, Inc. (OTCPK:BPTH)"
1133869,biotech,Drugs (Biotechnology),NasdaqCM:CAPR,"Capricor Therapeutics, Inc. (NasdaqCM:CAPR)"
1137883,biotech,Drugs (Biotechnology),OTCPK:BCLI,Brainstorm Cell Therapeutics Inc. (OTCPK:BCLI)
1157075,biotech,Drugs (Biotechnology),NasdaqCM:PMCB,"PharmaCyte Biotech, Inc. (NasdaqCM:PMCB)"
1157601,biotech,Drugs (Biotechnology),NasdaqGS:MDGL,"Madrigal Pharmaceuticals, Inc. (NasdaqGS:MDGL)"
1158223,biotech,Drugs (Biotechnology),OTCPK:AFFY,"Affymax, Inc. (OTCPK:AFFY)"
1159036,biotech,Drugs (Biotechnology),NasdaqGS:HALO,"Halozyme Therapeutics, Inc. (NasdaqGS:HALO)"
1160308,biotech,Drugs (Biotechnology),NasdaqGS:SVRA,Savara Inc. (NasdaqGS:SVRA)
1163573,biotech,Drugs (Biotechnology),OTCPK:TXTM,"ProText Mobility, Inc. (OTCPK:TXTM)"
1173313,biotech,Drugs (Biotechnology),NasdaqCM:ABVC,"ABVC BioPharma, Inc. (NasdaqCM:ABVC)"
1174940,biotech,Drugs (Biotechnology),NYSEAM:OGEN,"Oragenics, Inc. (NYSEAM:OGEN)"
1175680,biotech,Drugs (Biotechnology),OTCPK:CYDY,CytoDyn Inc. (OTCPK:CYDY)
1177648,biotech,Drugs (Biotechnology),NasdaqGS:ENTA,"Enanta Pharmaceuticals, Inc. (NasdaqGS:ENTA)"
1178670,biotech,Drugs (Biotechnology),NasdaqGS:ALNY,"Alnylam Pharmaceuticals, Inc. (NasdaqGS:ALNY)"
1178879,biotech,Drugs (Biotechnology),NasdaqGM:FOLD,"Amicus Therapeutics, Inc. (NasdaqGM:FOLD)"
1187953,biotech,Drugs (Biotechnology),NasdaqCM:CELZ,"Creative Medical Technology Holdings, Inc. (NasdaqCM:CELZ)"
1191070,biotech,Drugs (Biotechnology),NasdaqGM:NEUP,Neuphoria Therapeutics Inc. (NasdaqGM:NEUP)
1205922,biotech,Drugs (Biotechnology),OTCPK:VCNX,"Vaccinex, Inc. (OTCPK:VCNX)"
1211583,biotech,Drugs (Biotechnology),NasdaqCM:FENC,Fennec Pharmaceuticals Inc. (NasdaqCM:FENC)
